Plaza ID,Date,Hour,Direction,# Vehicles - E-ZPass,# Vehicles - VToll
5,2017-04-17,20,O,235,55
5,2017-04-17,21,I,337,37
5,2017-04-17,21,O,205,46
5,2017-04-17,22,I,4,0
5,2017-04-17,22,O,13,2
5,2017-04-17,23,I,0,0
5,2017-04-17,23,O,6,0
5,2017-04-16,0,I,174,25
5,2017-04-16,0,O,57,21
5,2017-04-16,1,I,107,26
5,2017-04-16,1,O,48,17
5,2017-04-16,2,I,73,12
5,2017-04-16,2,O,23,15
5,2017-04-16,3,I,45,11
5,2017-04-16,3,O,21,8
5,2017-04-16,4,I,39,9
5,2017-04-16,4,O,28,7
5,2017-04-16,5,I,47,8
5,2017-04-16,5,O,67,4
5,2017-04-16,6,I,82,9
5,2017-04-16,6,O,104,6
5,2017-04-16,7,I,92,19
5,2017-04-16,7,O,168,27
5,2017-04-16,8,I,178,26
5,2017-04-16,8,O,224,18
5,2017-04-16,9,I,215,30
5,2017-04-16,9,O,320,29
5,2017-04-16,10,I,342,43
5,2017-04-16,10,O,432,40
5,2017-04-16,11,I,546,74
5,2017-04-16,11,O,460,38
5,2017-04-16,12,I,719,106
5,2017-04-16,12,O,498,56
5,2017-04-16,13,I,879,146
5,2017-04-16,13,O,658,76
5,2017-04-16,14,I,1001,141
5,2017-04-16,14,O,706,92
5,2017-04-16,15,I,710,128
5,2017-04-16,15,O,683,98
5,2017-04-16,16,I,495,88
5,2017-04-16,16,O,736,145
5,2017-04-16,17,I,414,75
5,2017-04-16,17,O,524,110
5,2017-04-16,18,I,412,65
5,2017-04-16,18,O,490,95
5,2017-04-16,19,I,375,60
5,2017-04-16,19,O,662,119
5,2017-04-16,20,I,459,55
5,2017-04-16,20,O,659,137
5,2017-04-16,21,I,425,50
5,2017-04-16,21,O,344,57
5,2017-04-16,22,I,325,49
5,2017-04-16,22,O,218,48
5,2017-04-16,23,I,180,24
5,2017-04-16,23,O,116,14
5,2017-04-15,0,I,163,16
5,2017-04-15,0,O,69,15
5,2017-04-15,1,I,93,18
5,2017-04-15,1,O,38,7
5,2017-04-15,2,I,71,6
5,2017-04-15,2,O,45,9
5,2017-04-15,3,I,44,6
5,2017-04-15,3,O,25,5
5,2017-04-15,4,I,28,6
5,2017-04-15,4,O,21,4
5,2017-04-15,5,I,70,10
5,2017-04-15,5,O,104,9
5,2017-04-15,6,I,110,15
5,2017-04-15,6,O,223,23
5,2017-04-15,7,I,176,35
5,2017-04-15,7,O,292,28
5,2017-04-15,8,I,241,36
5,2017-04-15,8,O,386,32
5,2017-04-15,9,I,280,41
5,2017-04-15,9,O,456,39
5,2017-04-15,10,I,339,29
5,2017-04-15,10,O,533,40
5,2017-04-15,11,I,407,62
5,2017-04-15,11,O,541,46
5,2017-04-15,12,I,478,57
5,2017-04-15,12,O,520,58
5,2017-04-15,13,I,492,59
5,2017-04-15,13,O,508,56
5,2017-04-15,14,I,514,59
5,2017-04-15,14,O,467,71
5,2017-04-15,15,I,563,63
5,2017-04-15,15,O,470,66
5,2017-04-15,16,I,523,76
5,2017-04-15,16,O,427,59
5,2017-04-15,17,I,536,78
5,2017-04-15,17,O,418,60
5,2017-04-15,18,I,443,68
5,2017-04-15,18,O,328,62
5,2017-04-15,19,I,373,46
5,2017-04-15,19,O,304,41
5,2017-04-15,20,I,321,39
5,2017-04-15,20,O,243,31
5,2017-04-15,21,I,300,59
5,2017-04-15,21,O,200,46
5,2017-04-15,22,I,244,35
5,2017-04-15,22,O,198,34
5,2017-04-15,23,I,227,23
5,2017-04-15,23,O,134,25
5,2017-04-14,0,I,118,15
5,2017-04-14,0,O,44,18
5,2017-04-14,1,I,67,9
5,2017-04-14,1,O,31,6
5,2017-04-14,2,I,45,6
5,2017-04-14,2,O,24,8
5,2017-04-14,3,I,28,4
5,2017-04-14,3,O,30,6
5,2017-04-14,4,I,43,10
5,2017-04-14,4,O,50,5
5,2017-04-14,5,I,104,14
5,2017-04-14,5,O,253,16
5,2017-04-14,6,I,250,32
5,2017-04-14,6,O,536,23
5,2017-04-14,7,I,306,63
5,2017-04-14,7,O,624,39
5,2017-04-14,8,I,291,45
5,2017-04-14,8,O,637,37
5,2017-04-14,9,I,304,34
5,2017-04-14,9,O,587,44
5,2017-04-14,10,I,400,41
5,2017-04-14,10,O,563,43
5,2017-04-14,11,I,413,50
5,2017-04-14,11,O,578,75
5,2017-04-14,12,I,462,58
5,2017-04-14,12,O,571,49
5,2017-04-14,13,I,571,59
5,2017-04-14,13,O,522,52
5,2017-04-14,14,I,773,73
5,2017-04-14,14,O,592,64
5,2017-04-14,15,I,764,96
5,2017-04-14,15,O,585,91
5,2017-04-14,16,I,907,84
5,2017-04-14,16,O,524,60
5,2017-04-14,17,I,786,68
5,2017-04-14,17,O,460,55
5,2017-04-14,18,I,557,43
5,2017-04-14,18,O,405,45
5,2017-04-14,19,I,485,59
5,2017-04-14,19,O,328,46
5,2017-04-14,20,I,357,48
5,2017-04-14,20,O,224,36
5,2017-04-14,21,I,348,41
5,2017-04-14,21,O,149,35
5,2017-04-14,22,I,258,41
5,2017-04-14,22,O,158,33
5,2017-04-14,23,I,206,21
5,2017-04-14,23,O,118,29
5,2017-04-13,0,I,114,10
5,2017-04-13,0,O,54,14
5,2017-04-13,1,I,51,8
5,2017-04-13,1,O,18,6
5,2017-04-13,2,I,39,7
5,2017-04-13,2,O,22,5
5,2017-04-13,3,I,28,6
5,2017-04-13,3,O,19,2
5,2017-04-13,4,I,24,5
5,2017-04-13,4,O,69,3
5,2017-04-13,5,I,124,9
5,2017-04-13,5,O,290,17
5,2017-04-13,6,I,306,31
5,2017-04-13,6,O,635,27
5,2017-04-13,7,I,302,58
5,2017-04-13,7,O,808,58
5,2017-04-13,8,I,371,48
5,2017-04-13,8,O,771,54
5,2017-04-13,9,I,335,38
5,2017-04-13,9,O,673,57
5,2017-04-13,10,I,342,49
5,2017-04-13,10,O,588,31
5,2017-04-13,11,I,370,43
5,2017-04-13,11,O,522,51
5,2017-04-13,12,I,429,52
5,2017-04-13,12,O,543,49
5,2017-04-13,13,I,530,47
5,2017-04-13,13,O,526,66
5,2017-04-13,14,I,622,59
5,2017-04-13,14,O,506,58
5,2017-04-13,15,I,762,82
5,2017-04-13,15,O,564,73
5,2017-04-13,16,I,851,72
5,2017-04-13,16,O,537,71
5,2017-04-13,17,I,938,71
5,2017-04-13,17,O,548,67
5,2017-04-13,18,I,823,72
5,2017-04-13,18,O,483,72
5,2017-04-13,19,I,573,51
5,2017-04-13,19,O,333,48
